Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Mes
3,5,8,9,19,21,30,2
8,11,12,14,20,21,28,12
11,12,21,24,25,28,29,4
6,7,13,15,18,19,29,1
2,8,9,17,19,24,28,12
1,11,18,19,26,30,31,2
2,5,6,14,20,24,25,1
1,4,13,21,22,24,27,9
3,10,13,18,19,23,24,8
6,10,13,18,19,20,30,8
7,13,16,19,20,27,31,9
2,3,7,12,17,21,22,9
1,4,7,9,20,21,26,4
1,8,16,20,21,26,31,11
8,11,13,16,26,28,29,11
1,2,7,12,16,20,25,10
9,11,13,14,19,20,22,6
4,7,8,14,21,27,31,6
3,4,9,12,14,28,29,10
6,12,17,21,26,29,31,10
2,8,10,11,12,18,31,3
2,4,5,12,18,22,27,7
9,10,17,19,25,27,28,5
7,8,12,15,16,18,30,10
1,10,13,17,21,25,29,7
2,8,10,11,16,20,28,8
6,12,15,17,20,23,28,2
2,9,12,15,18,20,24,11
3,5,13,21,22,24,27,2
4,8,9,17,20,27,30,11
4,6,7,9,11,24,28,6
3,4,7,16,18,20,27,3
3,10,12,13,23,28,31,9
6,12,15,18,23,27,29,12
3,7,11,12,17,22,23,11
2,7,11,12,13,16,27,6
2,7,12,16,18,22,23,1
8,15,17,18,26,29,30,7
4,5,6,9,13,25,30,3
2,10,12,14,19,21,27,9
7,12,23,25,27,30,31,12
6,11,14,16,17,29,31,6
4,7,17,18,27,28,31,4
7,9,15,23,26,30,31,6
2,5,7,12,15,29,30,9
1,4,5,8,10,16,30,8
5,7,13,15,16,20,22,9
6,8,10,17,23,29,31,4
4,11,16,17,20,23,31,1
14,16,17,18,22,23,31,9
2,8,10,14,16,24,28,9
7,12,14,20,22,24,26,9
3,7,16,18,19,25,30,4
4,11,18,21,24,25,27,8
1,8,16,18,22,25,28,10
9,10,15,16,17,23,31,12
3,5,10,12,18,26,28,10
11,12,13,24,25,29,30,8
3,4,5,8,10,24,25,10
1,6,7,8,17,18,22,10
5,8,10,13,19,25,28,4
7,11,13,18,23,28,30,12
2,3,6,9,27,28,29,8
5,6,8,17,18,20,27,1
7,20,21,27,28,30,31,2
4,6,10,11,12,17,24,9
1,4,8,14,19,22,26,10
1,4,6,14,20,21,27,1
1,3,5,6,8,26,29,7
2,4,5,9,11,28,29,12
4,6,7,8,24,27,31,9
1,2,6,8,9,18,21,4
8,9,10,11,14,18,23,8
6,12,15,17,20,23,29,6
2,3,6,14,28,30,31,1
10,15,16,21,25,26,29,10
6,7,11,12,14,19,21,9
4,6,8,13,14,19,23,10
1,8,10,12,15,21,28,9
2,3,4,10,18,19,28,6
6,10,12,25,26,27,29,2
2,9,10,13,16,17,22,4
2,9,10,13,15,21,26,5
7,10,15,16,18,19,24,5
3,7,21,22,23,26,31,6
3,6,8,9,11,19,26,2
7,9,10,15,18,21,22,1
3,4,17,18,19,23,27,5
3,6,16,18,19,24,31,7
1,5,6,8,12,23,26,5
8,10,15,16,23,28,29,4
5,7,8,9,15,26,29,12
1,8,9,16,21,23,30,8
7,10,13,15,19,23,26,9
5,7,8,18,20,23,28,7
3,4,9,15,17,28,29,5
1,10,12,22,23,25,28,11
1,3,7,12,26,27,28,9
4,14,20,27,28,29,30,3
3,4,8,15,16,20,21,5
4,5,9,13,19,20,29,12
4,7,10,19,22,26,28,5
4,5,19,23,25,26,31,1
3,13,20,25,26,27,30,12
3,7,8,12,21,24,29,8
5,8,17,20,25,26,28,12
4,7,13,15,18,20,23,6
2,6,15,17,22,24,25,11
3,18,20,23,24,26,28,7
4,8,10,11,14,18,26,3
1,6,8,14,17,21,26,2
11,13,18,21,24,25,26,12
6,9,10,12,17,27,30,5
7,8,9,23,26,29,31,11
7,8,13,16,18,21,22,2
2,5,12,16,18,24,30,3
5,7,9,16,18,20,27,10
2,5,7,9,15,22,30,10
2,3,6,12,24,25,28,11
2,8,16,21,22,27,28,2
3,9,10,12,14,19,24,7
12,13,14,15,16,23,31,4
6,11,16,18,19,21,23,8
12,15,20,21,22,24,27,11
1,8,12,13,17,26,30,12
9,11,14,18,24,27,29,8
1,5,7,9,17,21,22,5
2,7,8,15,19,20,22,5
6,12,13,15,16,28,29,10
5,8,10,20,23,25,28,1
4,5,11,22,26,27,30,3
3,11,14,18,19,23,26,10
1,4,8,10,20,22,31,3
1,2,8,10,14,16,18,5
2,5,6,11,25,27,28,1
17,19,20,21,23,27,30,3
3,5,6,8,16,19,28,12
9,13,15,17,21,27,29,6
3,4,11,13,18,19,22,7
5,8,9,12,14,17,22,3
2,7,9,15,23,25,30,7
6,11,18,21,23,29,30,6
5,10,11,15,22,29,31,1
2,4,7,8,13,15,27,11
2,3,6,10,11,13,15,12
1,8,9,17,18,19,23,3
2,3,6,8,9,22,27,1
7,9,11,18,21,22,29,9
3,16,20,21,25,26,30,8
1,2,7,16,17,26,29,8
3,11,13,17,22,29,31,11
1,3,5,10,14,25,31,7
2,13,21,23,25,29,30,6
3,5,9,14,21,29,30,12
3,13,15,16,25,27,28,5
1,3,7,15,16,29,31,4
2,10,17,18,20,25,29,12
7,14,20,23,27,28,29,3
1,10,14,17,23,28,31,10
4,8,9,12,13,25,30,11
2,3,5,14,15,20,25,12
6,10,11,14,20,24,25,7
7,10,16,18,24,25,27,12
7,10,12,13,17,21,22,9
4,5,7,8,11,19,24,2
6,7,11,19,22,23,25,9
10,11,12,13,15,20,26,8
1,3,4,20,23,25,26,3
9,11,14,18,24,26,29,10
1,9,10,11,15,20,21,6
3,7,11,18,20,23,29,12
3,6,10,21,25,27,30,10
2,7,11,13,25,27,28,4
3,5,6,7,17,19,25,2
4,6,7,17,21,26,31,12
3,4,6,9,10,18,29,6
3,11,17,18,24,25,28,10
2,3,4,9,12,23,24,9
3,4,5,11,21,24,30,10
5,13,20,21,23,25,30,11
6,8,10,15,17,26,28,8
2,3,7,15,22,26,31,10
5,7,16,17,21,24,27,11
6,9,10,14,16,17,22,8
7,11,18,21,24,28,29,6
6,15,17,22,23,26,27,9
1,3,6,15,17,23,26,10
8,12,21,23,24,26,28,5
2,7,13,16,18,20,29,11
3,4,5,6,14,16,27,7
3,4,11,24,26,28,29,10
4,11,14,15,18,28,31,12
12,13,16,25,28,30,31,7
3,4,7,9,15,21,23,1
2,3,5,14,15,22,23,2
4,13,14,22,26,29,30,8
1,2,4,11,17,18,28,4
1,2,9,10,16,23,28,1
2,15,20,21,22,23,24,7
10,12,13,17,21,23,27,2
2,7,9,13,14,16,29,6
5,6,7,11,21,26,29,9
2,3,7,10,15,17,20,12
2,11,20,21,27,28,31,6
5,6,9,17,19,20,23,5
13,16,21,23,24,27,28,12
1,5,8,10,12,25,28,7
2,4,17,21,28,29,31,10
5,7,14,17,19,23,29,8
7,10,18,19,20,23,27,12
1,5,13,24,26,27,29,5
5,11,14,17,18,26,30,10
6,9,10,18,21,24,26,9
2,9,11,13,21,28,29,5
4,7,11,13,15,18,25,6
5,8,9,14,25,28,30,8
2,6,16,17,18,20,26,9
2,3,11,12,17,18,21,9
3,6,10,16,17,25,28,3
2,4,9,17,19,25,31,2
3,6,7,9,15,27,31,12
3,12,13,16,18,19,27,4
3,4,10,11,14,19,28,12
1,6,8,14,17,19,23,3
1,7,12,14,22,24,26,4
1,4,8,12,22,24,28,2
2,11,12,15,17,20,25,6
4,10,14,18,21,22,23,12
9,13,15,21,25,27,30,6
5,8,12,18,24,27,29,5
4,10,12,13,14,24,26,2
4,5,6,12,15,16,26,11
3,6,7,16,22,23,28,12
4,5,13,17,23,24,29,12
13,17,18,19,22,27,29,8
4,5,6,9,11,19,23,4
3,6,14,18,19,29,31,8
1,2,10,19,24,26,28,8
5,13,15,23,27,29,30,8
1,4,8,13,19,22,25,10
3,5,6,12,20,23,31,7
2,3,5,9,16,19,25,2
2,4,8,13,14,17,22,2
1,6,12,13,15,16,29,12
1,5,7,14,21,30,31,5
9,10,14,16,18,19,24,5
2,9,10,12,17,25,28,8
2,5,14,16,17,18,22,6
3,8,12,20,21,27,29,9
1,5,10,14,15,29,30,12
5,11,14,18,20,27,31,3
4,9,12,19,25,28,31,12
4,12,14,19,23,28,29,4
18,20,21,22,25,27,31,2
3,11,23,24,25,28,30,7
1,5,12,16,27,30,31,12
5,12,17,19,21,24,28,5
1,2,3,9,13,24,30,7
6,9,10,13,21,26,29,9
5,8,10,12,18,24,31,6
5,8,9,18,23,26,31,4
4,5,17,18,20,27,28,6
9,18,19,21,23,27,30,12
13,15,22,23,25,30,31,12
2,3,14,16,17,20,27,11
1,3,10,14,17,30,31,12
1,2,6,9,13,20,30,10
2,3,14,16,17,21,29,3
1,4,6,9,26,27,31,6
1,2,3,4,24,27,28,3
7,15,17,20,21,24,29,7
3,5,6,10,12,16,21,2
3,11,12,19,20,26,28,11
2,3,4,6,8,10,30,3
7,10,12,14,24,27,28,11
4,5,15,16,18,27,30,8
2,3,10,13,21,22,31,8
5,8,13,21,22,24,26,9
3,7,10,13,24,25,28,11
2,3,10,13,17,24,28,6
5,7,9,14,24,26,31,5
7,8,16,22,23,25,31,11
2,8,17,20,21,22,24,5
1,3,4,5,18,22,25,8
10,15,17,18,21,22,23,8
4,5,19,23,28,29,30,2
10,14,15,16,18,24,30,10
7,11,16,21,23,28,30,1
2,4,14,17,19,21,30,2
5,12,13,18,21,23,29,2
2,3,5,7,10,17,20,11
1,4,5,19,22,23,24,11
3,7,13,20,25,27,28,11
4,5,10,12,14,19,24,10
1,4,5,9,10,22,30,5
4,6,13,18,21,22,27,3
10,13,14,15,20,23,29,4
3,4,8,9,16,24,31,1
3,14,15,17,20,21,22,4
10,15,16,17,24,25,31,11
11,18,22,27,28,29,30,11
1,4,7,10,15,25,31,1
5,13,15,16,18,25,30,4
1,2,16,23,24,25,30,1
4,8,9,10,20,25,28,8
3,11,12,13,20,24,30,2
4,8,14,15,16,24,27,1
10,11,16,20,21,23,28,1
2,5,10,11,12,18,19,6
6,7,9,10,13,14,21,4
1,3,9,16,17,21,22,4
2,9,15,22,24,29,30,4
9,12,16,19,24,28,29,10
1,7,9,11,22,25,26,11
9,10,19,22,26,27,28,7
1,10,13,14,16,22,30,11
5,7,8,14,15,22,28,2
6,11,14,16,18,28,30,12
3,10,14,17,28,29,30,12
4,9,12,13,15,26,27,11
7,13,21,22,26,29,31,1
4,9,12,19,20,26,28,4
1,9,24,25,27,29,30,8
3,6,14,18,24,27,30,5
7,8,19,20,21,24,26,7
1,10,15,16,22,24,29,8
4,9,13,15,21,23,25,9
11,14,17,20,23,25,27,12
2,6,9,17,18,19,22,3
7,10,11,17,23,24,29,3
7,8,23,26,29,30,31,2
6,8,9,14,15,18,25,8
5,10,13,16,18,20,22,8
3,5,12,14,19,24,28,10
1,3,5,10,13,14,26,4
4,8,11,13,23,26,28,4
1,6,7,20,21,27,30,4
3,8,10,11,14,23,24,6
1,5,9,10,23,24,25,1
4,7,16,17,20,27,28,6
1,5,8,10,11,13,27,8
2,7,8,11,12,20,30,2
1,7,11,25,26,29,31,3
1,2,17,23,24,25,31,4
5,7,8,13,22,26,30,5
14,15,17,21,24,25,31,4
6,8,19,20,22,23,29,9
2,10,18,19,24,26,27,1
2,10,17,25,26,28,29,10
7,16,20,23,24,25,26,11
4,8,9,11,18,19,26,6
5,11,12,15,18,22,26,8
9,16,20,22,24,28,30,7
6,8,20,21,24,28,29,12
4,12,13,16,19,22,31,7
1,2,10,15,22,23,28,3
3,4,6,11,23,24,26,9
3,4,5,15,25,27,29,2
6,9,14,20,21,22,25,12
10,11,13,19,25,27,30,10
1,4,5,12,14,22,27,7
3,7,10,19,29,30,31,5
2,11,12,13,14,18,30,10
3,6,7,12,15,23,28,1
6,11,14,15,17,19,21,1
17,19,23,25,26,29,31,11
6,15,17,22,23,26,29,3
12,20,21,22,24,26,28,6
10,15,16,17,19,21,30,10
4,6,11,15,19,21,22,8
3,11,12,16,24,29,31,9
2,4,19,20,23,26,27,12
5,10,21,25,26,29,31,4
3,8,9,20,21,23,27,3
4,8,9,13,20,23,30,12
7,9,10,13,20,22,25,3
1,11,12,13,17,29,31,10
11,13,18,21,23,25,27,8
3,7,14,21,24,26,27,3
5,15,17,22,26,28,31,6
14,15,16,17,22,24,29,12
10,13,17,20,22,26,28,6
2,9,11,16,22,24,30,3
2,3,6,9,10,15,26,5
4,6,7,14,15,22,31,6
5,10,11,20,22,29,31,9
2,6,15,18,21,22,23,7
2,4,7,9,15,22,26,3
5,16,23,25,27,28,29,8
1,12,17,25,26,28,29,2
5,7,10,11,13,17,23,9
3,4,10,18,22,24,28,10
6,13,19,21,23,27,28,3
1,2,5,8,15,24,25,5
8,14,16,21,25,30,31,8
1,2,14,17,23,25,26,8
7,8,9,10,12,14,30,4
2,3,7,10,20,30,31,8
2,7,15,19,20,23,24,4
6,12,17,19,21,23,31,11
3,4,6,7,10,24,31,9
1,3,5,7,20,22,29,3
4,9,11,25,26,29,30,4
1,2,9,14,16,25,29,11
4,5,7,11,13,18,30,12
1,10,11,15,19,20,22,8
4,5,12,13,16,25,26,2
10,14,17,20,25,27,29,10
10,14,16,24,28,30,31,1
6,12,14,16,18,27,31,9
3,4,8,11,19,26,27,1
4,9,10,12,13,19,21,1
3,6,9,12,16,21,22,3
2,11,17,20,28,30,31,3
4,8,10,14,20,27,29,2
3,8,11,13,23,24,30,10
3,8,11,17,19,21,26,8
7,9,20,23,25,27,31,10
2,3,10,13,17,24,31,9
