Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7
71,51,63,57,24,80,31
77,18,31,25,20,63,50
36,43,9,74,72,29,21
66,71,15,38,70,68,54
15,58,24,20,23,54,51
55,60,8,17,80,1,59
42,15,77,37,18,55,29
75,48,76,50,71,61,74
5,56,69,37,78,24,58
23,74,37,14,1,53,59
37,75,3,12,71,11,50
15,2,73,13,24,56,39
75,37,6,79,73,28,32
68,15,19,51,60,57,32
3,58,20,21,9,25,64
57,5,52,59,38,55,42
10,50,23,12,30,20,53
33,54,63,26,15,9,70
44,60,49,26,75,55,38
19,39,64,73,37,53,28
15,59,80,75,1,46,65
7,52,78,21,4,55,60
17,12,20,62,16,23,60
62,78,72,80,59,61,4
47,4,49,23,51,75,44
48,22,54,7,74,70,14
8,20,55,31,54,4,48
78,26,15,66,55,24,72
49,8,34,4,25,68,52
9,69,19,44,33,20,1
70,1,63,12,46,52,74
54,19,2,23,25,45,41
62,78,35,30,79,29,13
28,57,48,29,56,60,34
77,20,16,50,25,70,75
10,42,54,72,20,58,59
51,55,12,19,37,6,8
21,69,71,30,35,8,49
61,13,31,28,80,52,41
64,76,36,45,54,35,9
79,25,63,37,75,42,19
19,41,8,78,50,71,47
23,42,10,66,60,52,73
20,66,76,27,21,64,30
28,55,20,71,34,26,76
60,69,8,57,16,36,75
79,25,29,46,64,27,73
59,65,16,52,33,20,80
38,20,12,36,27,17,69
5,24,20,23,77,72,56
30,28,67,27,15,43,52
71,55,42,38,53,29,1
66,71,1,13,60,16,44
38,40,8,20,18,71,48
77,26,43,69,60,37,14
76,14,45,18,44,61,60
56,23,41,31,61,67,12
30,9,47,38,4,32,71
27,9,30,2,72,61,38
55,53,39,69,24,23,54
14,70,4,50,41,64,42
59,16,80,69,19,70,33
13,17,45,62,56,29,48
77,64,44,51,71,56,40
11,28,72,79,59,36,14
16,4,17,24,71,31,59
70,13,20,32,74,79,21
80,52,4,41,24,13,49
78,5,55,10,71,8,38
6,45,8,19,46,73,18
28,52,27,3,78,9,8
1,21,55,6,26,40,36
39,7,3,75,57,42,48
51,25,60,40,20,3,31
50,59,52,12,6,22,72
51,25,64,46,34,52,76
23,19,20,44,49,64,57
38,56,22,44,48,39,52
8,80,37,46,52,39,2
43,15,8,48,44,42,20
66,12,7,80,15,6,68
30,46,42,43,57,64,63
62,28,25,52,11,78,48
4,7,10,73,34,3,27
50,67,9,21,17,36,64
71,80,41,23,19,32,55
55,21,11,37,72,34,25
60,9,75,19,65,40,18
41,4,8,62,72,73,10
73,65,68,71,76,44,69
17,5,76,12,25,57,52
62,9,40,39,1,4,56
46,60,47,8,17,4,30
52,46,34,12,56,79,7
67,34,74,73,30,36,13
9,4,51,20,32,80,36
60,4,45,40,15,66,38
35,28,41,71,40,5,50
12,52,63,60,28,66,5
38,36,74,58,72,70,14
1,76,80,46,63,59,60
28,49,34,77,45,26,48
21,3,80,16,42,71,7
4,66,62,69,58,61,80
10,2,51,75,52,3,17
19,11,18,17,59,73,75
58,13,38,46,6,9,80
34,38,26,5,79,78,20
12,51,10,68,8,15,66
42,41,63,3,14,59,24
2,1,67,69,13,31,8
50,70,39,60,5,67,7
39,17,75,24,4,69,77
17,68,60,79,44,77,18
35,72,20,55,49,3,54
12,62,65,34,4,24,54
51,76,40,79,61,10,33
60,30,68,59,66,29,42
72,11,56,44,19,28,41
14,1,73,44,7,46,51
67,31,47,8,35,43,76
64,67,52,70,48,49,69
54,60,3,17,61,37,56
46,16,43,70,1,71,20
25,72,5,19,41,56,69
37,17,64,23,72,30,16
48,79,1,78,19,9,35
70,27,20,78,38,8,16
10,69,8,22,28,55,70
45,76,30,68,12,51,57
41,11,4,42,40,39,24
26,66,36,19,71,39,78
62,14,26,4,20,52,66
49,2,4,78,51,60,75
23,49,62,8,9,55,58
13,11,52,22,41,3,36
15,32,50,70,58,71,26
60,18,17,33,71,40,34
61,11,27,35,31,44,1
27,47,26,74,25,66,36
26,63,55,47,62,72,21
55,65,76,79,40,61,80
61,4,5,60,26,62,1
12,32,61,31,75,80,70
67,35,2,55,74,75,65
27,79,46,56,15,43,53
49,61,78,70,69,12,76
70,30,27,39,49,73,78
13,29,61,63,62,15,46
8,63,61,10,17,40,79
1,79,65,41,62,47,45
20,8,2,65,16,27,51
3,46,15,10,80,57,20
14,22,1,6,36,19,52
28,23,55,48,71,21,67
77,50,49,70,27,69,19
26,67,29,54,78,63,73
35,30,9,26,28,19,53
12,76,29,56,70,2,28
71,34,35,45,55,16,7
55,70,56,47,80,59,52
50,10,23,47,44,34,72
23,62,27,80,22,77,51
31,36,10,63,33,7,49
39,31,67,45,13,62,80
4,75,51,72,48,71,53
59,29,40,24,8,10,30
79,74,47,31,4,20,15
66,23,39,63,24,51,12
20,55,64,27,56,11,51
9,71,55,64,26,23,35
57,26,47,74,12,32,13
70,34,10,68,6,74,59
35,48,1,4,14,24,3
66,13,30,59,5,32,67
66,25,80,40,34,50,52
25,34,30,62,59,80,12
27,39,80,71,50,11,72
1,38,51,68,63,60,69
56,36,16,73,35,32,74
15,6,63,33,80,32,54
37,3,30,61,51,2,57
39,36,51,71,24,32,16
55,25,36,59,62,48,74
41,62,59,26,7,45,50
30,55,13,29,31,75,34
76,80,30,7,11,61,77
78,79,29,27,77,73,28
53,20,17,31,12,27,35
70,65,23,71,73,68,4
42,34,41,24,27,79,33
71,67,27,14,28,38,7
14,13,45,68,75,27,31
63,33,24,8,72,45,61
62,53,8,40,21,52,13
70,24,11,67,78,5,41
4,11,16,24,55,66,79
69,37,8,30,45,54,64
46,16,17,57,56,60,47
75,79,27,36,31,9,23
30,50,27,78,37,3,40
67,60,76,65,41,73,25
77,61,8,67,73,65,19
21,36,25,78,44,67,45
21,66,35,29,33,41,18
71,2,36,77,30,66,11
59,19,57,55,67,39,61
12,11,15,7,4,70,13
10,47,73,77,33,67,54
61,38,60,51,17,52,26
39,26,5,32,23,56,36
13,35,49,51,43,19,22
35,14,6,52,23,28,12
17,12,66,56,70,6,71
1,50,78,48,4,42,17
55,65,9,41,4,15,57
31,57,48,21,4,13,72
2,74,20,28,48,32,60
54,65,42,19,35,60,45
5,28,65,32,23,9,25
34,79,44,74,38,59,6
3,2,61,56,7,11,65
55,18,72,56,59,10,5
16,14,74,21,20,28,17
45,37,61,2,26,47,30
39,29,19,16,45,67,71
27,62,3,75,44,63,34
34,76,39,59,13,25,55
26,47,10,51,24,11,36
69,25,4,19,54,35,63
41,55,18,17,62,50,30
63,28,21,64,60,65,75
16,41,68,78,11,56,32
8,22,35,62,30,23,2
72,36,48,43,66,60,11
21,39,6,69,29,35,62
10,40,11,78,29,47,34
30,25,70,28,26,76,63
37,43,58,74,15,8,5
23,41,19,54,51,29,63
55,25,30,18,16,10,4
41,6,46,73,54,48,23
47,15,77,49,40,52,1
73,10,53,50,76,32,70
39,69,79,25,41,77,34
51,2,35,75,63,13,55
39,61,13,11,66,62,34
80,43,23,72,16,51,14
31,61,9,27,16,72,22
78,37,22,20,60,49,14
59,80,39,75,65,1,16
35,16,1,65,33,13,43
67,73,48,39,41,17,35
66,19,45,50,31,71,28
75,14,26,10,3,31,51
13,73,67,57,31,44,46
47,41,80,61,48,13,58
29,60,55,56,19,25,74
54,75,13,47,30,15,73
62,2,36,42,29,3,14
32,74,1,21,4,24,49
50,2,24,58,80,61,72
13,3,16,61,25,71,38
58,7,26,6,79,67,78
15,78,56,37,36,34,44
41,13,66,46,52,19,35
61,32,71,16,5,15,59
39,52,18,1,70,27,7
73,59,79,68,56,65,40
15,51,40,50,41,54,5
67,77,47,74,56,50,26
14,40,6,4,78,10,18
66,58,60,52,70,48,11
36,9,60,26,78,34,5
75,24,18,8,57,58,41
31,52,57,33,59,71,60
47,7,22,60,3,67,23
8,16,7,54,72,60,18
75,6,49,74,34,18,65
11,72,35,61,7,9,74
5,80,23,40,48,22,46
40,79,26,7,72,17,23
66,40,11,69,36,28,18
7,37,9,50,47,63,73
71,25,8,11,67,47,26
61,38,6,39,27,40,30
1,22,18,26,55,50,36
33,32,52,56,3,54,75
58,21,47,37,45,4,64
57,38,58,52,28,21,19
57,21,39,47,22,64,10
6,23,59,71,58,57,11
46,34,33,69,21,51,18
39,13,54,40,23,16,42
16,26,48,10,31,13,11
35,60,13,80,15,10,5
42,31,20,17,34,15,37
12,19,11,21,75,26,7
72,4,3,68,71,12,30
71,28,21,69,48,59,6
27,57,65,41,71,26,13
74,32,6,3,17,5,35
80,50,24,55,10,48,52
2,59,27,68,80,42,58
49,35,41,75,24,31,32
40,70,73,53,51,63,32
13,65,5,61,49,72,80
61,8,17,2,70,47,7
9,2,33,16,38,67,24
70,20,9,66,32,65,19
3,56,21,33,69,29,12
17,45,64,11,5,12,43
42,33,52,73,19,71,58
48,30,10,32,44,54,35
52,4,6,63,60,58,51
32,25,33,27,44,75,14
72,60,21,40,70,6,65
9,43,3,66,27,80,33
31,60,22,18,70,55,21
54,10,39,55,35,69,43
16,76,24,60,66,71,46
66,19,46,50,3,65,34
6,41,31,34,25,24,46
74,12,47,55,25,28,39
70,68,3,2,31,57,67
16,23,5,45,60,56,20
13,64,9,59,63,12,35
29,25,65,73,69,38,55
73,67,61,71,63,79,21
42,30,25,79,32,4,35
11,5,57,71,16,47,41
30,6,63,7,45,34,10
25,5,16,60,64,65,45
45,18,76,80,66,2,48
26,32,36,20,33,58,76
79,75,5,40,7,45,25
41,71,24,37,40,54,57
66,54,68,79,48,18,4
41,49,7,33,50,45,20
57,19,73,26,75,63,5
60,71,33,31,27,43,12
31,57,12,13,40,47,18
46,80,14,6,3,57,47
63,8,30,22,42,39,45
22,76,40,54,25,32,4
13,22,38,76,12,33,72
79,22,21,33,45,7,2
45,11,18,42,77,55,57
29,21,45,80,58,54,72
43,39,6,68,14,13,70
54,61,4,52,1,59,18
47,70,59,6,19,52,1
38,25,66,44,65,74,6
79,8,80,22,63,57,37
57,16,33,24,72,10,73
70,62,25,13,4,28,6
2,36,16,39,18,53,66
64,11,80,21,23,46,73
78,17,65,14,64,1,28
10,69,31,33,42,4,21
24,50,16,29,79,77,75
33,38,64,61,55,6,37
37,70,7,49,63,66,44
8,78,60,62,47,1,19
61,20,73,33,58,49,9
75,12,11,52,13,65,51
53,66,68,20,4,3,63
18,32,58,59,2,17,71
8,2,24,4,50,33,65
49,78,52,11,48,12,63
11,44,55,20,57,43,37
53,62,15,25,80,76,77
47,53,48,22,66,80,15
20,71,26,25,32,23,47
12,19,29,15,65,51,9
52,74,11,16,53,23,20
56,11,69,79,43,4,39
73,16,44,57,49,10,8
62,31,4,73,20,60,11
38,51,35,39,16,41,24
25,24,7,54,20,48,21
17,7,10,61,4,35,22
56,30,41,59,79,35,52
42,63,24,7,28,65,8
9,23,64,34,24,44,7
67,72,35,3,32,52,79
63,66,76,29,6,48,8
58,6,70,54,63,27,61
43,41,36,23,1,42,34
22,21,44,67,32,45,46
53,48,80,78,54,7,37
75,20,58,55,64,2,65
31,51,59,10,70,39,33
59,74,20,34,17,72,45
20,49,58,40,47,30,36
23,3,28,49,48,31,63
34,20,1,45,71,72,57
47,57,73,16,74,80,65
14,19,42,1,24,29,20
65,80,68,45,42,11,69
65,41,16,32,77,24,19
55,38,53,40,77,79,73
67,14,8,46,64,32,51
50,32,7,26,62,21,16
12,28,22,13,53,66,78
70,32,30,33,55,4,65
51,6,63,77,47,75,73
75,46,15,27,9,31,63
75,5,73,34,56,64,41
6,33,18,32,10,37,58
54,2,15,79,49,21,67
23,39,10,44,70,62,29
76,64,66,31,61,33,67
20,40,44,79,36,13,60
12,45,55,35,54,1,41
49,16,56,69,2,38,27
43,22,41,16,44,36,28
39,31,60,44,6,25,32
44,16,2,70,3,24,5
37,23,67,56,66,45,32
17,12,65,79,40,1,42
4,52,6,39,8,31,43
77,4,45,35,72,71,46
16,70,13,29,78,44,80
6,19,54,68,24,7,2
43,45,28,75,20,6,32
13,16,74,63,67,31,45
,,,,,,
48,74,25,39,6,14,13
40,61,6,47,38,75,5
79,54,11,21,32,28,78
28,2,44,46,48,72,1
64,70,21,28,31,58,11
79,36,1,43,72,4,17
27,21,47,10,25,60,80
22,53,36,58,57,34,15
23,16,9,6,24,10,1
,,,,,,
37,30,78,60,45,15,57
42,20,74,29,52,17,36
69,36,1,6,62,70,46
56,39,58,72,27,54,12
,,,,,,
23,13,38,60,19,63,20
53,1,39,43,15,50,66
79,71,73,13,8,51,53
3,79,35,46,11,56,72
46,9,64,76,17,38,28
57,77,43,29,35,15,65
51,49,23,10,29,70,25
80,63,32,21,16,42,1
10,69,53,38,64,36,24
76,27,9,15,24,6,44
44,20,78,22,48,29,36
37,67,38,79,74,40,70
57,32,46,1,66,5,79
58,68,69,10,42,61,2
70,21,60,18,23,78,76
43,17,11,73,72,24,36
25,46,40,68,2,9,72
66,12,77,64,31,30,25
41,10,44,8,2,50,14
18,39,46,29,52,60,9
4,24,11,67,3,22,76
57,39,28,12,11,70,71
48,66,68,5,55,63,4
76,16,37,2,12,60,45
62,23,71,12,79,39,47
66,50,11,31,64,43,72
40,42,1,34,19,53,80
79,14,56,11,33,24,16
59,36,18,49,25,65,77
75,22,64,48,38,37,56
66,56,43,71,18,20,65
63,18,12,7,20,11,28
32,73,65,55,63,70,71
38,25,63,48,62,5,57
76,36,63,64,28,65,68
29,73,45,58,13,43,48
71,14,55,68,41,28,12
69,11,27,47,63,43,38
29,65,26,44,31,80,72
68,10,35,12,38,60,28
25,78,6,76,3,37,26
16,55,35,80,21,15,33
26,31,12,55,71,79,36
47,28,71,4,39,29,33
19,48,28,24,4,5,30
27,51,56,42,39,61,77
55,57,42,48,5,78,52
36,37,34,15,57,60,30
69,77,2,49,4,66,7
77,13,28,79,17,46,45
80,13,48,55,4,60,62
2,57,20,30,21,76,65
1,51,77,42,16,46,60
56,6,22,74,40,33,49
19,50,61,6,62,3,46
20,44,75,70,34,69,43
20,49,79,31,42,6,34
17,56,53,80,37,35,48
66,42,67,11,13,50,28
57,9,65,11,44,78,75
49,33,28,61,12,30,16
33,14,38,70,66,79,57
1,2,33,38,47,23,51
33,74,41,79,44,34,65
40,55,7,8,75,39,76
14,21,42,50,39,41,48
61,8,65,21,28,32,58
35,80,28,33,47,25,51
45,23,28,72,6,29,53
7,69,52,44,80,10,79
43,79,63,13,66,3,31
59,4,63,11,7,19,39
41,35,26,43,69,5,8
29,73,41,44,26,71,68
78,9,70,21,26,17,79
58,80,30,21,59,1,71
8,32,42,57,22,36,15
1,56,75,47,44,13,59
48,77,52,57,73,76,61
80,27,67,31,59,25,32
48,20,17,10,6,42,53
50,65,23,39,61,72,59
78,36,56,67,24,72,4
38,58,26,12,80,15,77
66,42,37,61,8,45,13
80,18,11,47,63,1,17
12,80,35,13,46,20,70
42,50,67,44,77,26,31
22,53,78,36,50,60,40
58,45,33,21,70,10,49
61,54,66,50,72,23,74
70,42,19,32,30,63,18
36,10,56,4,35,54,55
61,32,4,27,1,70,22
75,59,47,7,15,20,34
28,33,61,77,2,65,47
66,28,79,53,44,17,35
42,32,56,35,7,75,57
5,64,33,14,49,73,41
10,67,6,62,54,72,66
73,77,76,10,67,60,45
46,4,19,63,2,57,36
5,34,8,39,20,47,37
23,48,33,46,7,26,75
31,39,49,70,28,66,17
72,31,17,49,15,44,39
45,62,21,71,33,75,20
56,59,69,18,75,4,29
35,22,42,75,21,1,66
42,80,46,26,59,63,45
19,73,45,63,2,27,40
49,17,66,62,4,22,44
79,23,29,33,65,31,74
53,79,67,66,49,74,28
35,77,72,39,68,14,43
65,10,30,25,21,57,55
37,40,8,72,65,22,60
45,65,67,31,72,68,27
19,10,51,9,60,32,13
75,39,23,56,15,76,45
31,58,10,53,27,57,28
7,49,29,31,76,74,23
36,8,50,69,70,14,12
2,62,40,19,18,10,69
31,15,46,26,18,73,24
40,29,8,49,23,20,7
40,1,25,57,39,5,77
22,25,75,68,6,66,45
52,1,47,66,74,13,64
8,21,80,69,61,63,36
7,54,43,18,53,10,37
33,17,74,23,28,5,22
25,12,2,42,76,37,49
59,65,43,12,33,52,61
14,47,21,40,43,22,6
71,69,68,13,14,20,43
21,61,54,10,62,80,72
36,5,23,6,12,33,63
42,30,3,69,54,7,26
66,60,39,4,42,8,2
64,24,57,58,5,25,56
21,50,57,77,70,58,28
35,18,11,29,49,48,32
75,54,23,4,71,5,31
70,28,36,57,54,50,56
78,11,51,54,52,80,33
30,80,50,61,19,21,26
52,36,34,39,63,73,80
35,3,75,50,69,32,43
16,76,20,22,21,78,77
48,11,19,21,23,66,38
42,76,55,30,67,7,34
52,1,58,34,69,25,64
74,46,23,1,10,45,68
1,54,41,3,10,51,52
14,19,55,20,76,79,28
39,13,32,40,46,54,65
46,12,29,71,1,20,2
50,2,47,39,13,25,68
57,13,42,44,27,19,29
18,62,55,77,15,67,56
4,16,69,74,60,14,25
3,37,59,78,57,46,63
29,35,2,58,68,52,74
33,71,78,42,72,62,49
66,70,16,69,47,39,43
24,40,20,6,57,14,33
72,75,74,40,71,25,53
12,4,31,73,2,60,5
53,67,64,18,71,37,34
44,60,77,38,39,29,13
10,60,71,28,29,70,7
1,68,51,18,54,29,5
40,2,51,67,34,53,56
67,50,78,77,43,35,20
62,10,15,51,52,53,25
63,12,19,23,47,18,20
71,23,54,31,11,33,25
42,30,6,70,15,34,66
7,47,30,71,72,35,77
48,44,72,57,63,29,15
27,50,6,55,66,51,52
76,74,77,68,78,42,62
45,27,60,3,73,76,35
67,3,43,56,73,50,32
56,7,50,29,14,12,44
43,32,4,66,75,50,74
9,67,43,58,39,16,69
31,52,55,70,57,40,67
49,35,26,62,12,50,15
65,35,14,21,34,60,19
39,40,38,35,17,18,14
37,77,1,17,30,69,43
22,26,71,14,38,30,69
72,71,36,7,55,68,13
21,73,75,55,16,12,48
72,13,76,26,43,21,19
3,4,69,29,23,14,17
69,19,15,74,44,37,20
26,66,37,3,31,11,52
8,33,15,80,21,38,51
8,30,64,61,41,7,23
20,2,43,38,70,64,66
61,7,42,26,72,35,14
21,2,32,24,14,8,40
63,78,5,55,25,50,39
57,48,67,34,55,30,69
58,71,6,69,46,77,56
39,29,57,47,35,77,2
14,40,62,20,75,80,23
4,75,49,57,62,58,41
65,9,30,24,49,2,25
28,5,26,21,58,34,55
48,14,12,60,13,69,41
78,53,48,23,40,62,65
74,2,5,69,45,21,61
13,25,11,14,2,64,40
58,40,19,25,65,20,64
39,21,6,34,54,63,45
59,43,8,35,72,47,13
36,46,21,23,59,38,29
67,47,12,70,29,7,58
5,44,60,27,7,58,77
57,17,25,14,35,33,13
36,26,27,4,42,74,70
42,68,74,37,57,32,80
1,12,18,77,14,16,23
66,60,8,51,15,25,69
34,60,27,32,41,28,11
16,64,57,32,69,9,15
43,5,11,55,50,60,61
37,71,10,61,42,52,26
38,57,27,75,48,36,11
22,39,71,3,33,25,30
48,25,76,63,61,56,22
26,8,30,79,18,62,43
21,42,1,4,41,16,64
56,59,40,61,33,50,58
7,77,66,44,45,2,18
5,79,68,67,4,2,44
7,42,11,28,79,21,57
75,19,5,33,46,42,69
68,77,1,32,12,41,64
24,77,66,74,43,34,5
15,4,3,67,72,23,33
20,58,29,4,35,11,24
7,8,50,55,58,56,6
26,74,37,33,38,64,46
43,26,2,76,79,68,30
78,4,52,8,66,35,3
48,73,79,68,64,38,17
27,35,13,19,55,66,64
40,34,51,17,24,7,59
61,15,64,62,70,4,57
20,69,36,15,53,3,26
30,21,78,47,38,41,10
23,54,30,22,65,57,75
18,45,6,34,16,27,47
54,32,42,78,33,23,47
23,25,20,73,60,52,77
44,75,36,56,1,6,61
52,44,40,25,62,46,60
54,27,10,34,59,40,39
37,65,7,72,31,3,70
32,37,42,34,29,47,46
48,30,41,44,57,38,73
24,64,58,60,80,75,47
31,9,10,27,77,79,4
48,72,19,38,26,65,28
65,45,7,11,80,69,12
3,33,34,39,65,27,45
56,41,55,50,79,2,62
80,24,27,20,52,60,39
57,71,34,11,72,31,64
26,41,53,39,47,45,64
66,10,62,20,25,44,16
50,74,20,13,46,16,56
10,59,71,17,14,67,35
18,46,3,47,30,70,41
67,57,73,63,21,22,44
53,36,22,8,6,32,68
33,16,10,72,9,71,34
79,6,10,20,31,57,32
55,50,53,39,31,73,22
23,30,62,35,74,16,31
77,3,68,10,66,9,70
51,12,60,80,70,2,34
53,61,50,47,39,60,20
20,2,78,29,62,43,45
69,42,74,16,54,19,10
74,63,7,69,39,21,40
65,7,54,71,78,64,59
13,59,43,56,36,11,77
12,73,4,70,51,64,16
4,74,24,64,73,37,69
58,41,36,27,54,72,73
10,28,7,62,3,60,78
56,57,61,67,76,48,8
40,19,9,50,45,15,17
61,73,34,80,44,5,37
30,54,73,63,49,36,44
63,74,11,61,37,15,32
11,35,61,2,33,9,69
36,30,61,4,56,48,17
51,64,3,53,23,70,43
76,58,40,19,34,30,48
15,38,44,60,65,48,45
75,12,3,52,6,66,74
60,73,9,2,40,58,37
67,33,31,8,26,79,50
7,70,23,67,10,44,12
12,42,26,58,66,68,6
48,64,75,2,40,46,53
37,30,41,19,75,5,8
71,21,69,52,1,66,64
6,66,61,18,47,45,64
56,43,76,59,14,54,71
24,31,46,19,72,16,60
64,27,6,3,31,74,50
7,75,40,66,6,12,33
21,8,10,57,61,30,50
36,61,5,42,17,69,77
8,11,35,39,78,60,5
37,28,13,75,6,16,62
59,51,44,31,74,57,66
46,44,16,49,55,27,67
61,39,80,59,47,21,27
70,80,61,1,5,27,13
63,20,59,29,56,4,74
17,24,33,67,6,73,72
51,58,77,48,39,65,37
72,42,63,77,46,78,8
70,15,49,68,78,74,37
42,62,61,45,18,15,39
6,48,33,31,78,21,64
44,74,18,78,27,21,68
67,36,3,55,14,44,46
8,23,58,69,3,41,68
6,25,42,78,22,33,68
40,67,9,54,73,44,25
39,76,42,1,27,75,49
10,22,13,35,60,56,39
56,63,34,32,60,37,46
8,10,41,22,61,3,36
51,52,5,6,18,27,79
58,74,19,31,79,20,23
38,80,53,26,29,14,24
51,40,7,31,1,14,50
53,76,37,21,12,13,45
4,27,31,50,8,12,2
58,44,3,36,64,59,10
67,9,37,33,2,14,78
80,36,27,62,25,12,69
25,31,71,7,65,76,42
56,16,52,13,17,22,31
53,23,64,75,61,25,6
63,58,69,34,61,71,6
3,17,79,78,72,69,9
